trade_date,branch,candidate_count,gate_pass_count,trigger_touch_count,entry_count,closed_trades,win_rate,realized_pnl_usd,realized_pnl_pct,avg_hold_min,no_trigger_count,invalid_risk_count,entry_window_closed_count,exit_reason_stop,exit_reason_target,exit_reason_time_exit
2026-04-01,reclaim_vwap,3,0,0,0,0,,0.0,,,0,0,0,,,
2026-04-02,continuation_compare,0,0,0,0,0,,0.0,,,0,0,0,,,
2026-04-02,reclaim_first5_high,0,0,0,0,0,,0.0,,,0,0,0,,,
2026-04-02,reclaim_vwap,0,0,0,0,0,,0.0,,,0,0,0,,,
2026-04-06,continuation_compare,0,0,0,0,0,,0.0,,,0,0,0,,,
2026-04-06,reclaim_first5_high,0,0,0,0,0,,0.0,,,0,0,0,,,
2026-04-06,reclaim_vwap,0,0,0,0,0,,0.0,,,0,0,0,,,
2026-04-07,continuation_compare,0,0,0,0,0,,0.0,,,0,0,0,,,
2026-04-07,reclaim_first5_high,0,0,0,0,0,,0.0,,,0,0,0,,,
2026-04-07,reclaim_vwap,0,0,0,0,0,,0.0,,,0,0,0,,,
2026-04-08,continuation_compare,0,0,0,0,0,,0.0,,,0,0,0,,,
2026-04-08,reclaim_first5_high,0,0,0,0,0,,0.0,,,0,0,0,,,
2026-04-08,reclaim_vwap,0,0,0,0,0,,0.0,,,0,0,0,,,
2026-04-09,continuation_compare,0,0,0,0,0,,0.0,,,0,0,0,,,
2026-04-09,reclaim_first5_high,0,0,0,0,0,,0.0,,,0,0,0,,,
2026-04-09,reclaim_vwap,0,0,0,0,0,,0.0,,,0,0,0,,,
2026-04-10,continuation_compare,0,0,0,0,0,,0.0,,,0,0,0,,,
2026-04-10,reclaim_first5_high,0,0,0,0,0,,0.0,,,0,0,0,,,
2026-04-10,reclaim_vwap,0,0,0,0,0,,0.0,,,0,0,0,,,
2026-04-13,continuation_compare,1,0,0,0,0,,0.0,,,0,0,0,,,
2026-04-13,reclaim_first5_high,1,0,0,0,0,,0.0,,,0,0,0,,,
2026-04-13,reclaim_vwap,1,0,0,0,0,,0.0,,,0,0,0,,,
2026-04-14,continuation_compare,0,0,0,0,0,,0.0,,,0,0,0,,,
2026-04-14,reclaim_first5_high,0,0,0,0,0,,0.0,,,0,0,0,,,
2026-04-14,reclaim_vwap,0,0,0,0,0,,0.0,,,0,0,0,,,
2026-04-15,continuation_compare,0,0,0,0,0,,0.0,,,0,0,0,,,
2026-04-15,reclaim_first5_high,0,0,0,0,0,,0.0,,,0,0,0,,,
2026-04-15,reclaim_vwap,0,0,0,0,0,,0.0,,,0,0,0,,,
2026-04-16,continuation_compare,1,0,0,0,0,,0.0,,,0,0,0,,,
2026-04-16,reclaim_first5_high,1,0,0,0,0,,0.0,,,0,0,0,,,
2026-04-16,reclaim_vwap,1,0,0,0,0,,0.0,,,0,0,0,,,
2026-04-17,continuation_compare,0,0,0,0,0,,0.0,,,0,0,0,,,
2026-04-17,reclaim_first5_high,0,0,0,0,0,,0.0,,,0,0,0,,,
2026-04-17,reclaim_vwap,0,0,0,0,0,,0.0,,,0,0,0,,,
