trade_date,symbol,branch_label,regime_label,entry_time,entry_price,stop_price,target_price,exit_time,exit_price,exit_reason,gross_trade_ret,trade_ret,MFE,MAE,sector,price_bucket,market_cap_bucket,calendar_year,quarter_label,avg_dollar_volume_20,liquidity_bucket,slippage_bps_per_side,fee_bps_round_trip,first5_range_pos,first5_pace,close_vs_vwap
2025-07-31,ALHC,continuation_compare,regime_a_open_above_prev_close,2025-07-31T09:35:00-04:00,15.957974999999998,14.955,17.963924999999993,2025-07-31T10:03:00-04:00,14.947522500000002,stop,-6.331959412143434,-6.351959412143434,1.453975206754013,-15.465464759783105,Healthcare,10-20,2b_to_10b,2025,2025-Q3,2324182.1625,low,5.0,2.0,1.0,32.27593757939789,2.119872422615021
2025-08-04,ATEC,continuation_compare,regime_a_open_above_prev_close,2025-08-04T09:50:00-04:00,14.112052499999999,13.92,14.496157499999997,2025-08-04T11:30:00-04:00,14.495773487499998,target,2.7191011902768825,2.6991011902768824,5.512646016587606,-0.9357426922837666,Healthcare,10-20,300m_to_2b,2025,2025-Q3,1475647.25,micro,5.0,2.0,0.8378378378378322,4.485807837882665,0.5336083946949843
2025-08-14,ALTS,continuation_compare,regime_a_open_above_prev_close,2025-08-14T09:41:00-04:00,7.433714999999999,7.16,7.981144999999998,2025-08-14T09:46:00-04:00,7.156420000000001,stop,-3.730234478991981,-3.750234478991981,1.9678586009821557,-5.430864648429476,Technology,03-10,50m_to_300m,2025,2025-Q3,884378.422,micro,5.0,2.0,0.8888888888888911,9.853118555622109,1.0296233960311874
2025-09-10,CIFR,continuation_compare,regime_a_open_above_prev_close,2025-09-10T09:35:00-04:00,10.1000475,9.26,11.780142500000002,2025-09-10T15:55:00-04:00,10.1799075,time_exit,0.7906893507184005,0.7706893507184005,3.2173363541112074,-4.90143734472536,Technology,03-10,2b_to_10b,2025,2025-Q3,9265953.1575,mid,5.0,2.0,0.9880239520958086,18.294307100267684,3.630768038339882
2025-09-11,CIFR,reclaim_first5_high,regime_b_open_at_or_below_prev_close,2025-09-11T09:43:00-04:00,10.275134999999999,9.95,10.925404999999998,2025-09-11T15:50:00-04:00,9.945025,stop,-3.2127071809762064,-3.2327071809762065,3.842917878937855,-3.894206742782444,Technology,10-20,2b_to_10b,2025,2025-Q3,11023176.975,mid,5.0,2.0,0.5312499999999993,2.620327702758306,0.06202024640906689
2025-09-11,CIFR,reclaim_vwap,regime_b_open_at_or_below_prev_close,2025-09-11T09:35:00-04:00,10.118910646816095,9.95,10.456731940448288,2025-09-11T09:49:00-04:00,10.456394201081517,target,3.3351767403105845,3.3151767403105845,5.446133209579276,-2.41044372590484,Technology,10-20,2b_to_10b,2025,2025-Q3,11023176.975,mid,5.0,2.0,0.5312499999999993,2.620327702758306,0.06202024640906689
2025-09-19,CLSK,reclaim_first5_high,regime_b_open_at_or_below_prev_close,2025-09-19T09:36:00-04:00,13.476735,13.19,14.050205,2025-09-19T15:55:00-04:00,13.603195,time_exit,0.9383578440920579,0.9183578440920579,4.2166370415386245,-0.9403983976831186,Financial Services,10-20,2b_to_10b,2025,2025-Q3,8571622.4575,mid,5.0,2.0,0.6607142857142848,1.7555941683867613,0.18075521796852012
2025-09-19,CLSK,reclaim_vwap,regime_b_open_at_or_below_prev_close,2025-09-19T09:35:00-04:00,13.35534923531002,13.19,13.686047705930063,2025-09-19T09:48:00-04:00,13.685717086796892,target,2.4736743732123165,2.4536743732123165,5.163854217055,-0.339558588180697,Financial Services,10-20,2b_to_10b,2025,2025-Q3,8571622.4575,mid,5.0,2.0,0.6607142857142848,1.7555941683867613,0.18075521796852012
2025-10-01,ADPT,reclaim_first5_high,regime_b_open_at_or_below_prev_close,2025-10-01T09:36:00-04:00,14.907449999999999,14.85,15.022349999999998,2025-10-01T09:40:00-04:00,15.022235124999998,target,0.7699849739559694,0.7499849739559694,2.364924920090296,-2.599036052443573,Healthcare,10-20,2b_to_10b,2025,2025-Q4,1569242.9745000002,micro,5.0,2.0,0.6999999999999929,1.0990228078284126,0.1522887847259291
2025-10-01,ADPT,reclaim_vwap,regime_b_open_at_or_below_prev_close,2025-10-01T09:36:00-04:00,14.875991666138237,14.85,14.927974998414712,2025-10-01T09:36:00-04:00,14.927923024361128,target,0.3490951016132984,0.32909510161329836,2.581396537992618,-2.3930617475981135,Healthcare,10-20,2b_to_10b,2025,2025-Q4,1569242.9745000002,micro,5.0,2.0,0.6999999999999929,1.0990228078284126,0.1522887847259291
